word,semantic_dissimilarity
Promosso,0.6532174348831177
più,0.4761878252029419
due,0.3118220269680023
Aiuto,0.3600524067878723
aiuto,0.2593843936920166
grida,0.38668006658554077
fuggendo,0.3773393929004669
un,0.23858100175857544
povero,0.28222233057022095
Dieci,0.3390907049179077
Che,0.3810117244720459
c',0.3587800860404968
è,0.26698219776153564
Che,0.3147571086883545
ti,0.23461633920669556
succede,0.2573687434196472
Ma,0.24842321872711182
non,0.21677958965301514
vedete,0.2804172933101654
Sono,0.24565458297729492
inseguito,0.3862408399581909
da,0.23852312564849854
una,0.24714356660842896
Sottrazione,0.3816987872123718
Se,0.2747381925582886
mi,0.22384989261627197
raggiunge,0.3160531520843506
sarà,0.2493818998336792
un,0.32056164741516113
disastro,0.28946807980537415
Eh,0.3631969392299652
via,0.28909873962402344
addirittura,0.2677220106124878
un,0.24448144435882568
disastro,0.25975552201271057
Ecco,0.2620987892150879
è,0.24630194902420044
fatta,0.25041642785072327
la,0.25978875160217285
Sottrazione,0.4876673221588135
ha,0.21874254941940308
acchiappato,0.4850090444087982
il,0.2209264636039734
Dieci,0.3579689562320709
gli,0.2597835659980774
balza,0.378726989030838
addosso,0.40262168645858765
menando,0.3992118537425995
fendenti,0.3039935827255249
con,0.2601032257080078
la,0.27318912744522095
sua,0.2217850685119629
spada,0.24392825365066528
affilatissima,0.3255535960197449
Il,0.2718592882156372
povero,0.3047600984573364
Dieci,0.4916667342185974
perde,0.26650792360305786
un,0.36483752727508545
dito,0.2801879644393921
ne,0.3420261740684509
perde,0.2276533842086792
un,0.35333073139190674
altro,0.2535385191440582
Per,0.33588433265686035
sua,0.33083879947662354
fortuna,0.2964437007904053
passa,0.26899588108062744
una,0.1858053207397461
macchina,0.23377597332000732
straniera,0.3498070240020752
così,0.2708597183227539
lunga,0.2096380591392517
la,0.21421962976455688
Sottrazione,0.46648702025413513
si,0.18029016256332397
volta,0.3250834345817566
un,0.3267231583595276
momento,0.32287901639938354
a,0.3127220869064331
guardare,0.304221510887146
se,0.29767870903015137
è,0.37901443243026733
il,0.4778773784637451
caso,0.43216562271118164
di,0.24235492944717407
accorciarla,0.3750983774662018
e,0.2011888027191162
il,0.1750616431236267
buon,0.3122401833534241
Dieci,0.5791061520576477
può,0.19795513153076172
svignarsela,0.3452267050743103
scomparire,0.3199090361595154
in,0.24946516752243042
un,0.2599477767944336
portone,0.2982773780822754
Ma,0.30266427993774414
intanto,0.2827216386795044
non,0.24680721759796143
è,0.24467134475708008
più,0.27881139516830444
un,0.23292458057403564
Dieci,0.3243914842605591
è,0.1866505742073059
soltanto,0.29354965686798096
un,0.19384551048278809
Otto,0.2891322672367096
e,0.23281502723693848
per,0.32860422134399414
giunta,0.4458119869232178
perde,0.2164243459701538
sangue,0.2435520887374878
dal,0.3235229253768921
naso,0.2852914333343506
Poverino,0.416703462600708
che,0.33200305700302124
ti,0.25299233198165894
hanno,0.27403271198272705
fatto,0.25280845165252686
Ti,0.22362005710601807
sei,0.2720223665237427
picchiato,0.3100420832633972
coi,0.33856767416000366
tuoi,0.2059774398803711
compagni,0.284076452255249
vero,0.22839927673339844
Misericordia,0.3258560299873352
si,0.2588285803794861
salvi,0.3501778841018677
chi,0.27552908658981323
può,0.27638471126556396
la,0.23462092876434326
vocina,0.3543786406517029
è,0.2043536901473999
dolce,0.23736357688903809
e,0.2454138994216919
compassionevole,0.2563413381576538
ma,0.17707037925720215
la,0.20482534170150757
sua,0.16752099990844727
proprietaria,0.24632567167282104
è,0.17760825157165527
la,0.18776369094848633
Divisione,0.2922036051750183
in,0.27916383743286133
persona,0.2261720597743988
Lo,0.28305357694625854
sventurato,0.45794209837913513
Otto,0.4063388705253601
bisbiglia,0.444044828414917
buonasera,0.39530178904533386
con,0.2598479986190796
un,0.31873059272766113
filo,0.3475015163421631
di,0.29485154151916504
voce,0.26969054341316223
e,0.22797447443008423
cerca,0.27736830711364746
di,0.2284630537033081
riguadagnare,0.4071153998374939
la,0.24715864658355713
strada,0.22392705082893372
ma,0.18712860345840454
la,0.17063933610916138
Divisione,0.31702208518981934
è,0.19782483577728271
più,0.19733595848083496
svelta,0.24529892206192017
e,0.15658718347549438
con,0.2514297366142273
un,0.3208034038543701
solo,0.30262815952301025
colpo,0.34747475385665894
di,0.34270554780960083
forbici,0.3409964144229889
zac,0.30837973952293396
ne,0.2937522530555725
fa,0.20743387937545776
due,0.28977614641189575
pezzi,0.26710617542266846
Quattro,0.3274744749069214
e,0.22979474067687988
Quattro,0.2442631721496582
Uno,0.3170722723007202
se,0.2786736488342285
lo,0.2627093195915222
mette,0.2692912817001343
in,0.30725353956222534
tasca,0.2779221832752228
l',0.33466196060180664
altro,0.27600544691085815
ne,0.2879597544670105
approfitta,0.3375224471092224
per,0.23677366971969604
scappare,0.2376072108745575
torna,0.21112805604934692
in,0.3625933527946472
strada,0.27039623260498047
di,0.24744993448257446
corsa,0.24268582463264465
salta,0.25572508573532104
su,0.2915135622024536
un,0.2844093441963196
tram,0.29497334361076355
Un,0.41051530838012695
momento,0.3568360209465027
fa,0.24251317977905273
ero,0.27284520864486694
un,0.1858181357383728
Dieci,0.3265545070171356
piange,0.28884822130203247
e,0.2122322916984558
adesso,0.26576751470565796
guardate,0.278792142868042
qua,0.27397504448890686
Un,0.23652803897857666
Quattro,0.2711412310600281
Gli,0.2946931719779968
scolari,0.3303654193878174
si,0.21606439352035522
scansano,0.3541781008243561
frettolosamente,0.34737151861190796
non,0.2799466848373413
vogliono,0.30277830362319946
avere,0.3058258891105652
niente,0.39962488412857056
a,0.4659191370010376
che,0.4868350625038147
fare,0.3828384280204773
con,0.26672154664993286
lui,0.21056702733039856
Il,0.26071643829345703
tranviere,0.43994536995887756
borbotta,0.41909074783325195
Certa,0.45575234293937683
