word,surprisal
Il fatto è.,
"Il fatto è che la paperetta non si era ancora decisa a tuffarsi nello stagno. Così l’anatra, sul bordo dello specchio d’acqua, le spiegò, con pazienza, i vantaggi del nuoto. Ma non le riuscì affatto di convincerla e, vedendo che con le buone non otteneva nulla, decise senz’altro di spingerla in acqua. Senza alcun successo!",296.199872424826
"A quel punto, l’anatra indispettita, chiamò in aiuto il gatto. Il gatto spinse l’anatra, che spingeva la paperetta, che nemmeno si mosse.",129.40995118042338
"Chiamarono allora il cane, che spinse il gatto, che spingeva l’anatra, che spingeva la paperetta che sembrava incollata a terra.",192.48774008080363
"Infine, arrivò anche il tacchino che spinse il cane, che spingeva il gatto, che spingeva l’anatra, che spingeva la paperetta, che non si spostava di un millimetro.",212.20008562132716
"E proprio quando sembrò che la sua resistenza potesse venir meno, il tacchino incominciò ad urlare: “al lupo! Al lupo!”.",236.67933602444828
"E tutti si tuffarono nello stagno. No, non tutti. Naturalmente la paperetta rimase al suo posto.",157.08065736293793
"L’anatra, il gatto, il cane, il tacchino urlarono: “Buttati, c’è il lupo!”. Ma la paperetta non vedeva per niente il lupo: vedeva un animale grosso, brutto e peloso, le cui intenzioni, per lei, erano fin troppo evidenti: spingerla in acqua.",461.20800441503525
"Il fatto è, al momento, non si trovava nello stato d’animo ideale per bagnarsi, così spiccò un gran salto e andò a beccare il naso del lupo. Ci mise tutto l’impegno possibile e il lupo, colto alla sprovvista, ululando e ululando, fuggì a zampe levate.",487.41896433383226
"L’anatra, il gatto, il cane e il tacchino uscirono dallo stagno, mogi mogi, grondanti d’acqua e se ne andarono via.",263.72605477273464
"Il fatto è che la giornata si era fatta bella e il sole scaldava l’aria e alla paperetta, nulla sembrò più opportuno che farsi un bel bagnetto nello stagno.",290.6213283240795
