text_id,num_tokens,num_sentences,num_types,TTR,TTR_lemmas,avg_sentence_length,Zipf_mean,percent_rare_words,Gulpease_index,num_function_words,num_content_words,num_verbs,num_adjectives,num_nouns,top_lemmas,top_bigrams
01_1115,540,41,256,0.474,0.363,15.24,5.37,12.45,70.96,271 (50.2%),266 (49.3%),102 (18.9%),22 (4.1%),105 (19.4%),"['il (9.8%)', 'e (5.0%)', 'essere (4.3%)', 'uno (3.3%)', 'che (3.3%)', 'a (3.1%)', 'di (3.1%)', 'si (2.4%)', 'astrologo (1.9%)', 'dire (1.9%)', 'fare (1.7%)', 'in (1.7%)', 'avere (1.5%)', 'non (1.5%)', 'Gàmbara (1.5%)', 'sapere (1.3%)', 'Re (1.3%)', 'servo (1.3%)', 'ci (1.1%)', 'anello (0.9%)']","['il re (1.3%)', 'a il (1.1%)', 'l astrologo (0.7%)', 'i servi (0.7%)', 'l anello (0.7%)', 'e si (0.6%)', 'gàmbara si (0.6%)', 'di i (0.6%)', 'anello e (0.6%)', 'entrò il (0.6%)']"
02_1115,625,56,293,0.469,0.374,13.95,5.48,9.15,74.82,303 (48.5%),321 (51.4%),108 (17.3%),32 (5.1%),130 (20.8%),"['il (9.9%)', 'e (4.0%)', 'uno (3.4%)', 'di (2.9%)', 'a (2.7%)', 'essere (2.2%)', 'Re (2.2%)', 'che (2.1%)', 'non (1.8%)', 'contento (1.6%)', 'avere (1.6%)', 'tutto (1.6%)', 'gli (1.3%)', 'ma (1.3%)', 'in (1.3%)', 'uomo (1.1%)', 'si (1.1%)', 'Maestà (1.1%)', 'figlio (1.0%)', 'suo (1.0%)']","['il re (2.4%)', 'di il (0.6%)', 'e il (0.6%)', 'gli ambasciatori (0.6%)', 'la camicia (0.5%)', 'l uomo (0.5%)', 'uomo contento (0.5%)', 'a la (0.5%)', 'da il (0.5%)', 'un uomo (0.5%)']"
03_1115,568,59,272,0.479,0.398,10.92,5.37,12.59,76.45,292 (51.4%),272 (47.9%),98 (17.3%),23 (4.0%),119 (21.0%),"['il (9.7%)', 'a (4.4%)', 'uno (3.5%)', 'essere (3.0%)', 'che (3.0%)', 'di (2.5%)', 'e (2.3%)', 'in (2.3%)', 'cardellino (1.9%)', 'mio (1.8%)', 'con (1.6%)', 'si (1.6%)', 'mi (1.4%)', 'stare (1.2%)', 'gabbia (1.2%)', 'lo (1.1%)', 'non (1.1%)', 'da (1.1%)', 'voce (0.9%)', 'ne (0.7%)']","['il cardellino (1.6%)', 'a la (1.1%)', 'mia figlia (0.7%)', 'la gabbia (0.7%)', 'in la (0.5%)', 'con le (0.5%)', 'se ne (0.5%)', 'gli parlavo (0.5%)', 'con la (0.5%)', 'mia moglie (0.5%)']"
04_1115,591,43,269,0.455,0.381,16.07,5.41,10.17,67.53,296 (50.1%),294 (49.7%),114 (19.3%),28 (4.7%),104 (17.6%),"['il (8.6%)', 'e (4.2%)', 'uno (3.0%)', 'a (3.0%)', 'in (2.7%)', 'che (2.4%)', 'essere (2.2%)', 'avere (2.2%)', 'non (1.7%)', 'dire (1.7%)', 'imparare (1.5%)', 'di (1.5%)', 'padre (1.4%)', 'andare (1.4%)', 'questo (1.4%)', 'lo (1.2%)', 'figlio (1.0%)', 'giovane (1.0%)', 'cane (1.0%)', 'per (0.8%)']","['il padre (1.2%)', 'il giovane (1.0%)', 'nu la (0.7%)', 'che cosa (0.7%)', 'i cani (0.7%)', 'a il (0.7%)', 'allora il (0.5%)', 'ebbene che (0.5%)', 'cosa hai (0.5%)', 'hai imparato (0.5%)']"
05_1115,539,53,277,0.514,0.443,11.6,5.53,6.73,75.27,259 (48.1%),278 (51.6%),87 (16.1%),23 (4.3%),108 (20.0%),"['il (12.1%)', 'essere (3.7%)', 'a (3.3%)', 'uno (3.0%)', 'di (2.6%)', 'che (2.6%)', 'goccia (2.4%)', 'si (2.4%)', 'in (2.2%)', 'non (2.2%)', 'e (1.7%)', 'scala (1.3%)', 'per (1.1%)', 'notte (1.1%)', 'se (1.1%)', 'cosa (0.9%)', 'salire (0.7%)', 'tutto (0.7%)', 'da (0.7%)', 'signore (0.7%)']","['una goccia (1.5%)', 'a il (1.1%)', 'le scale (0.9%)', 'la goccia (0.7%)', 'che cosa (0.7%)', 'il mattino (0.7%)', 'la padrona (0.6%)', 'su per (0.6%)', 'per le (0.6%)', 'di le (0.6%)']"
06_1115,497,39,258,0.519,0.457,15.79,5.25,10.61,65.48,224 (45.1%),261 (52.5%),83 (16.7%),28 (5.6%),120 (24.1%),"['il (13.7%)', 'uno (4.0%)', 'a (3.6%)', 'di (3.4%)', 'essere (2.0%)', 'e (2.0%)', 'per (1.6%)', 'Bussi (1.4%)', 'da (1.4%)', 'lo (1.4%)', 'in (1.2%)', 'assegno (1.2%)', 'impiegato (1.2%)', 'si (1.0%)', 'con (1.0%)', 'non (0.8%)', 'dire (0.8%)', 'prendere (0.8%)', 'nuovo (0.8%)', 'passaporto (0.8%)']","['il bussi (1.2%)', 'a il (1.0%)', 'l impiegato (1.0%)', 'l assegno (0.8%)', 'di il (0.6%)', 'di nuovo (0.6%)', 'un assegno (0.4%)', '4000 lire (0.4%)', 'il foglietto (0.4%)', 'in mano (0.4%)']"
07_1115,563,43,293,0.52,0.433,14.16,5.35,10.17,68.02,294 (52.2%),266 (47.2%),98 (17.4%),24 (4.3%),106 (18.8%),"['il (9.8%)', 'di (4.6%)', 'uno (3.9%)', 'a (2.8%)', 'e (2.7%)', 'essere (2.5%)', 'mi (2.5%)', 'si (2.3%)', 'non (2.0%)', 'da (1.8%)', 'che (1.6%)', 'in (1.4%)', 'avere (1.4%)', 'coniglio (1.4%)', 'mio (1.2%)', 'suo (1.1%)', 'lo (1.1%)', 'vedere (1.1%)', 'ma (0.9%)', 'uscita (0.9%)']","['il coniglio (1.1%)', 'di la (0.9%)', 'mi piaceva (0.7%)', 'da il (0.7%)', 'mio padre (0.5%)', 'e mi (0.5%)', 'la tana (0.5%)', 'di il (0.5%)', 'il furetto (0.5%)', 'la volpe (0.4%)']"
08_1115,526,24,275,0.523,0.451,23.33,5.38,10.93,55.05,254 (48.3%),268 (51.0%),70 (13.3%),34 (6.5%),121 (23.0%),"['il (11.4%)', 'di (8.0%)', 'essere (3.4%)', 'a (3.0%)', 'che (2.3%)', 'tacchino (2.1%)', 'in (2.1%)', 'non (1.9%)', 'si (1.7%)', 'e (1.7%)', 'uno (1.5%)', 'quello (1.3%)', 'da (1.3%)', 'ringraziare (1.1%)', 'loro (1.1%)', 'americano (1.0%)', 'ogni (0.8%)', 'giorno (0.8%)', 'ma (0.8%)', 'avere (0.8%)']","['i tacchini (1.1%)', 'di i (1.1%)', 'di il (1.0%)', 'a il (1.0%)', 'gli americani (0.6%)', 'non si (0.6%)', 'in il (0.6%)', 'tacchini non (0.4%)', 'non ringraziano (0.4%)', 'in gli (0.4%)']"
09_1115,623,53,301,0.483,0.408,12.94,5.37,10.59,70.78,314 (50.4%),302 (48.5%),107 (17.2%),29 (4.7%),129 (20.7%),"['il (10.6%)', 'uno (4.5%)', 'e (3.9%)', 'di (3.5%)', 'essere (2.9%)', 'a (2.6%)', 'si (2.4%)', 'che (2.1%)', 'pesce (1.9%)', 'gli (1.4%)', 'in (1.3%)', 'non (1.1%)', 'avere (1.1%)', 'ma (1.1%)', 'lo (1.1%)', 'per (1.0%)', 'fare (1.0%)', 'con (1.0%)', 'Giovanni (1.0%)', 'come (1.0%)']","['il pesce (1.4%)', 'che non (0.8%)', 'su la (0.6%)', 'a casa (0.5%)', 'la spalla (0.5%)', 'in un (0.5%)', 'la morte (0.5%)', 'di una (0.3%)', 'una famiglia (0.3%)', 'famiglia che (0.3%)']"
10_1115,573,47,288,0.503,0.41,13.43,5.55,7.1,68.53,289 (50.4%),284 (49.6%),97 (16.9%),32 (5.6%),92 (16.1%),"['il (7.0%)', 'essere (5.6%)', 'che (4.9%)', 'di (4.2%)', 'e (3.3%)', 'non (3.0%)', 'uno (3.0%)', 'avere (2.3%)', 'a (2.3%)', 'da (1.4%)', 'ci (1.4%)', 'ti (1.2%)', 'arrivare (1.2%)', 'tutto (1.0%)', 'mi (1.0%)', 'Apocalisse (0.9%)', 'poi (0.9%)', 'voi (0.9%)', 'dire (0.9%)', 'cavallo (0.9%)']","['da voi (0.5%)', 'l’ apocalisse (0.5%)', 'e che (0.5%)', 'che la (0.5%)', 'voi non (0.5%)', 'un cavallo (0.5%)', 'di la (0.5%)', 'e poi (0.3%)', 'australia è (0.3%)', 'è arrivata (0.3%)']"
